,Molecule ChEMBL ID,Molecule Max Phase,Smiles,pChEMBL Value,Potential Duplicate,Assay Description,Target Type,Standard Relation,Standard Value,Standard Units,Value
25,CHEMBL1258502,0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)N2CCCC2)c1,,0.0,Inhibition of human ERG,SINGLE PROTEIN,'>',33.0,nM,33.0
26,CHEMBL1258961,0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C2(c3ccccc3)CC2)c1,8.32,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',4.8,nM,4.8
27,CHEMBL1257459,0,C[C@H](c1ccnc(Cl)c1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,7.89,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',13.0,nM,13.0
28,CHEMBL1172999,0,CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C#N)cc2F)CC1)C(F)(F)F,5.52,0.0,Inhibition of human ERG expressed in CHO cells by patch clamp assay,SINGLE PROTEIN,'=',3000.0,nM,3.0
29,CHEMBL402011,0,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,4.6,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',25000.0,nM,25.0
30,CHEMBL404646,0,COc1cccc(-c2nc(CCOc3cccc(C[C@@H]4C(=O)N(c5ccc(C(C)(C)C)cc5)[C@@H]4C(=O)O)c3)c(C)o2)c1,5.68,0.0,Inhibition of human ERG by FLIPR assay,SINGLE PROTEIN,'=',2100.0,nM,2.1
31,CHEMBL272963,0,Cc1oc(-c2ccccc2)nc1CCOc1cccc(C[C@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@H]2C(=O)O)c1,,0.0,Inhibition of human ERG by FLIPR assay,SINGLE PROTEIN,,,,
32,CHEMBL1215755,0,CN(C)CCN(C)C(=O)c1ccc(C2=NN(c3ccc(C#N)cc3)C(c3ccc(F)cc3)C2)cc1,6.77,0.0,Displacement of [3H]dofetilide from human ERG at 10 uM,SINGLE PROTEIN,'=',170.0,nM,170.0
33,CHEMBL402826,0,CCCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.2,0.0,Displacement of [3H]Dofetilide from human ERG,SINGLE PROTEIN,'=',630.96,nM,6.2
34,CHEMBL255618,0,Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6nc(C(F)(F)F)oc6c(Br)c5CC4)n3C)cccc2n1,5.7,0.0,Displacement of [3H]Dofetilide from human ERG,SINGLE PROTEIN,'=',1995.26,nM,5.7
35,CHEMBL273165,0,Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6nc(C)oc6c(Br)c5CC4)n3C)cccc2n1,5.0,0.0,Displacement of [3H]Dofetilide from human ERG,SINGLE PROTEIN,'=',10000.0,nM,5.0
36,CHEMBL256650,0,Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C)oc6cc5CC4)n3C)cccc2n1,4.3,0.0,Displacement of [3H]Dofetilide from human ERG,SINGLE PROTEIN,'=',50118.72,nM,4.3
37,CHEMBL255778,0,CCc1nc2cc3c(c(Br)c2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,5.9,0.0,Displacement of [3H]Dofetilide from human ERG,SINGLE PROTEIN,'=',1258.93,nM,5.9
38,CHEMBL256477,0,CCc1nn(C)c2cc3c(cc12)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.0,0.0,Displacement of [3H]Dofetilide from human ERG,SINGLE PROTEIN,'=',1000.0,nM,6.0
39,CHEMBL270853,0,Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6c(cc5CC4)C(=O)N(C)C6)n3C)cccc2n1,4.5,0.0,Displacement of [3H]Dofetilide from human ERG,SINGLE PROTEIN,'=',31622.78,nM,4.5
40,CHEMBL2425893,0,CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O,4.0,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',100000.0,nM,100.0
41,CHEMBL1802911,0,Cn1cc(-c2cnc3ccc4ccc(NS(=O)(=O)N5CCC5)cc4c(=O)c3c2)cn1,,0.0,Inhibition of Kv11.1 channel,SINGLE PROTEIN,'>',30000.0,nM,30.0
42,CHEMBL2424933,0,O=c1cnc2ccc(F)c3c2n1C[C@@]3(O)CN1CCC(NCc2cc3c(cn2)OCCO3)CC1,,0.0,Inhibition of human ERG by patch clamp assay,SINGLE PROTEIN,'=',101000.0,nM,101.0
43,CHEMBL2420704,0,Cn1cc(-c2ccnc(C3COCCN3)c2)c(-c2ccc(F)cc2)n1,4.59,0.0,Displacement of [3H]dofetilide from human ERG channel,SINGLE PROTEIN,'=',25900.0,nM,25.9
44,CHEMBL2420703,0,Cn1cc(-c2ccnc3c2OCCNC3)c(-c2ccc(F)cc2)n1,,0.0,Displacement of [3H]dofetilide from human ERG channel,SINGLE PROTEIN,'>',79600.0,nM,79.6
45,CHEMBL2420703,0,Cn1cc(-c2ccnc3c2OCCNC3)c(-c2ccc(F)cc2)n1,4.59,0.0,Inhibition of human ERG channel by electrophysiological method,SINGLE PROTEIN,'=',25700.0,nM,25.7
46,CHEMBL2420702,0,CNCc1cc(-c2cn(C)nc2-c2ccc(F)cc2)ccn1,5.4,0.0,Inhibition of human ERG channel by electrophysiological method,SINGLE PROTEIN,'=',3990.0,nM,3.99
47,CHEMBL2420700,0,Cn1cc(-c2ccncc2)c(-c2ccc(F)cc2)n1,,0.0,Inhibition of human ERG channel by electrophysiological method,SINGLE PROTEIN,'>',100000.0,nM,100.0
48,CHEMBL2426288,0,COc1ccc(NC(=O)/C=C/CN(C)C)cc1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1,5.38,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',4200.0,nM,4.2
49,CHEMBL2425061,0,N[C@H]1C[C@@H](N2Cc3cnc(C4CC4)nc3C2)CO[C@@H]1c1cc(F)c(F)cc1F,,0.0,Inhibition of human ERG channel,SINGLE PROTEIN,'>',30000.0,nM,30.0
50,CHEMBL1222969,0,FC(F)(F)C1(c2nnc(-c3nn(-c4ccc(Cl)cc4Cl)c(-c4ccc(Cl)cc4)c3Cn3cncn3)s2)CCC1,,0.0,Inhibition of human ERG at holding potential of -80 mV to +40 mV,SINGLE PROTEIN,'>',10000.0,nM,10.0
51,CHEMBL1223259,0,CC(C)(C)c1nnc(-c2nn(-c3ccccc3Cl)c(-c3ccc(Br)cc3)c2Cn2cncn2)s1,4.98,0.0,Inhibition of human ERG at holding potential of -80 mV to +40 mV,SINGLE PROTEIN,'=',10500.0,nM,10.5
52,CHEMBL2424936,0,O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CN1CCO[C@@H](CNCc2cc3c(cn2)OCCO3)C1,,0.0,Inhibition of human ERG by patch clamp assay,SINGLE PROTEIN,,,,
53,CHEMBL245379,0,C[C@@H](C1CCC(N(C)C(=O)c2cccc(F)c2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl,4.11,0.0,Inhibition of cardiac hERG,SINGLE PROTEIN,'=',78000.0,nM,78.0
54,CHEMBL55,4,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,4.8,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,'=',15721.5,nM,15.7215
55,CHEMBL648,4,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
56,CHEMBL3310484,0,Fc1cc(C(CC2CNC2)Oc2ccccc2F)ccc1Cl,5.85,0.0,Inhibition of human ERG expressed in CHO-K1 cells by patch-clamp electrophysiology method,SINGLE PROTEIN,'=',1410.0,nM,1.41
57,CHEMBL1290165,0,CC(C)S(=O)(=O)N[C@H]1CN(c2ccccc2)C[C@@H]1c1ccc(-c2cccc(NS(C)(=O)=O)c2)cc1,5.89,0.0,Displacement of [3H]-dofetilide from human hERG,SINGLE PROTEIN,'=',1300.0,nM,1.3
58,CHEMBL1290392,0,CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1c1ccc(-c2cccc(S(C)(=O)=O)c2)cc1,,0.0,Displacement of [3H]-dofetilide from human hERG,SINGLE PROTEIN,'>',63000.0,nM,63.0
59,CHEMBL1289179,0,CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1c1ccc(-c2cccs2)cc1,,0.0,Displacement of [3H]-dofetilide from human hERG,SINGLE PROTEIN,'>',63000.0,nM,63.0
60,CHEMBL1289410,0,CC(C)S(=O)(=O)N[C@@H]1COC[C@@H]1c1ccc(-c2cccs2)cc1,,0.0,Displacement of [3H]-dofetilide from human hERG,SINGLE PROTEIN,'>',63000.0,nM,63.0
61,CHEMBL72,4,CNCCCN1c2ccccc2CCc2ccccc21,5.82,0.0,Inhibition of human Potassium channel HERG expressed in mammalian cells,SINGLE PROTEIN,'=',1513.56,nM,5.82
62,CHEMBL832,4,O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
63,CHEMBL1934521,0,C[C@@H]1CCCN1CCc1ccc(-c2ccc(S(=O)(=O)CCO)cc2)cc1,5.11,0.0,Inhibition of human ERG by patch-clamp assay,SINGLE PROTEIN,'=',7700.0,nM,7.7
64,CHEMBL1934525,0,C[C@@H]1CCCN1CCc1ccc(-c2ccc(S(=O)(=O)CC3CCOCC3)cc2)cc1,5.51,0.0,Inhibition of human ERG by patch-clamp assay,SINGLE PROTEIN,'=',3100.0,nM,3.1
65,CHEMBL1257347,0,Cc1ccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,8.55,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',2.8,nM,2.8
66,CHEMBL3318987,0,O=c1ccc2ncc(F)cc2n1CCN1CCC(c2nc3cc(C(F)(F)F)ccc3[nH]2)CC1,,0.0,Inhibition of human ERG by electrophysiology assay,SINGLE PROTEIN,,,,
67,CHEMBL3318992,0,COc1cnc2ccc(=O)n(CCN3CCC(c4nc5cc(Cl)c(C)cc5[nH]4)CC3)c2c1,5.85,0.0,Inhibition of human ERG by electrophysiology assay,SINGLE PROTEIN,'=',1400.0,nM,1.4
68,CHEMBL2315940,0,N#Cc1cc(NCC(=O)NC2CN([C@H]3CC[C@@](O)(c4cncs4)CC3)C2)c2cc(C(F)(F)F)ccc2n1,4.46,0.0,Inhibition of human ERG assessed as [3H]astemizole binding activity,SINGLE PROTEIN,'=',35100.0,nM,35.1
69,CHEMBL2315939,0,O=C(CNc1cc(C(F)(F)F)nc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1,4.44,0.0,Inhibition of human ERG assessed as [3H]astemizole binding activity,SINGLE PROTEIN,'=',36100.0,nM,36.1
70,CHEMBL2315937,0,Cc1nc(NCC(=O)NC2CN([C@H]3CC[C@@](O)(c4cncs4)CC3)C2)c2cc(C(F)(F)F)ccc2n1,4.59,0.0,Inhibition of human ERG assessed as [3H]astemizole binding activity,SINGLE PROTEIN,'=',25700.0,nM,25.7
71,CHEMBL2315929,0,Nc1cnccc1[C@H]1CC[C@@H](N2CC(NC(=O)CNc3ncnc4ccc(C(F)(F)F)cc34)C2)CC1,4.34,0.0,Inhibition of human ERG assessed as [3H]astemizole binding activity,SINGLE PROTEIN,'=',46000.0,nM,46.0
72,CHEMBL2315928,0,COc1cccc([C@]2(O)CC[C@H](N3CC(NC(=O)CNc4ncnc5ccc(C(F)(F)F)cc45)C3)CC2)n1,4.87,0.0,Inhibition of human ERG assessed as [3H]astemizole binding activity,SINGLE PROTEIN,'=',13400.0,nM,13.4
73,CHEMBL2315922,0,O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@](O)(c3nccs3)CC2)C1,,0.0,Inhibition of human ERG assessed as [3H]astemizole binding activity,SINGLE PROTEIN,'>',50000.0,nM,50.0
74,CHEMBL3330073,0,N#C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,,0.0,Inhibition of human ERG expressed in CHO cells after 20 mins by patch clamp assay,SINGLE PROTEIN,'>',40000.0,nM,40.0
75,CHEMBL3330060,0,N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,4.01,0.0,Inhibition of human ERG expressed in CHO cells after 20 mins by thallium assay,SINGLE PROTEIN,'=',97700.0,nM,97.7
76,CHEMBL54440,2,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
77,CHEMBL3084803,2,CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H]([C@H](C)N)CC[C@H]2N)[C@H](O)[C@@H]1N(C)C(=O)CN,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
78,CHEMBL215050,0,COCCN(C)CCn1c(C#N)c(-c2cccc(F)c2)c2cc(OC)ccc2c1=O,5.78,0.0,Binding affinity to hERG potassium channel,SINGLE PROTEIN,'=',1650.0,nM,1650.0
79,CHEMBL460291,3,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
80,CHEMBL802,4,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
81,CHEMBL375745,0,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(F)c1.O=C(O)C(F)(F)F,4.23,0.0,Inhibition of hERG potassium channel,SINGLE PROTEIN,'=',58500.0,nM,58.5
82,CHEMBL273235,0,Fc1ccc(-n2cc(C3CCNCC3)c3cc(Cl)ccc32)cc1,6.69,0.0,Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1,SINGLE PROTEIN,'=',204.0,nM,204.0
83,CHEMBL57,4,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
84,CHEMBL1612004,0,COc1ccccc1N,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
85,CHEMBL526,4,CC(C)c1cccc(C(C)C)c1O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
86,CHEMBL307145,-1,Oc1cccc(O)c1O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
87,CHEMBL748,4,C[n+]1ccccc1/C=N/O.[Cl-],,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
88,CHEMBL1829626,0,Nc1cccnc1[C@H]1CC[C@H](N2CC(NC(=O)CNC(=O)c3cccc(C(F)(F)F)c3)C2)CC1,4.36,0.0,Displacement of [3H]astemizole from human ERG expressed in HEK293 cells after 1 hr,SINGLE PROTEIN,'=',44000.0,nM,44.0
89,CHEMBL277531,0,Cc1c(C(=O)NC2CCN(Cc3ccc4c(c3)OCO4)CC2)oc2cc(Cl)ccc2c1=O,,0.0,Displacement of [3H]dofetilide from hERG,SINGLE PROTEIN,,,,
90,CHEMBL213658,0,Cc1ccc2oc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)cc(=O)c2c1,,0.0,Displacement of [3H]dofetilide from hERG,SINGLE PROTEIN,,,,
91,CHEMBL216133,0,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(Cl)ccc2o1,,0.0,Displacement of [3H]dofetilide from hERG,SINGLE PROTEIN,,,,
92,CHEMBL214679,0,O=C(NC1CCN(Cc2cccc3c2OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,,0.0,Displacement of [3H]dofetilide from hERG,SINGLE PROTEIN,,,,
93,CHEMBL216680,0,CC(=O)Nc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,7.32,0.0,Displacement of [3H]dofetilide from hERG,SINGLE PROTEIN,'=',47.7,nM,47.7
94,CHEMBL1829610,0,O=C(CNC(=O)c1ccccc1)NC1CN([C@H]2CC[C@H](c3ccc4c(c3)OCO4)CC2)C1,5.55,0.0,Displacement of [3H]astemizole from human ERG expressed in HEK293 cells after 1 hr,SINGLE PROTEIN,'=',2800.0,nM,2.8
95,CHEMBL914,4,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,4.64,0.0,Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1,SINGLE PROTEIN,'=',23000.0,nM,23000.0
96,CHEMBL35,4,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
97,CHEMBL418971,0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
98,CHEMBL1113,4,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
99,CHEMBL4298697,0,C=C1C(=O)O[C@@H]2C3O[C@]3(C)CC/C=C(\C)CC[C@@H]12,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
100,CHEMBL186873,0,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2,4.85,0.0,Inhibitory concentration against IKr potassium channel,SINGLE PROTEIN,'=',14000.0,nM,14.0
101,CHEMBL600325,2,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
102,CHEMBL556312,0,O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,7.63,0.0,Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1,SINGLE PROTEIN,'=',23.5,nM,23.5
103,CHEMBL9387,0,Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,5.3,0.0,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,SINGLE PROTEIN,'=',5000.0,nM,5000.0
104,CHEMBL2171024,0,O=C(O)c1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,,0.0,Inhibition of human ERG expressed in HEK293 cells by electrophysiological ion flux assay,SINGLE PROTEIN,'>',10000.0,nM,5.0
105,CHEMBL4457286,0,CC(C)Oc1cc([C@@](Cc2ccccc2)(NC(=O)C(N)C(O)(C(F)(F)F)C(F)(F)F)c2cc(F)cc(OC(F)(F)C(F)F)c2)ccc1F,4.36,0.0,Inhibition of human ERG expressed in HEK293 cells by whole cell patch clamp method,SINGLE PROTEIN,'=',44000.0,nM,44.0
106,CHEMBL4475826,0,O=C(N[C@@](Cc1ccccc1)(c1cc(F)cc(C(F)(F)F)c1)c1ccc(Cl)cn1)C(O)C(O)(C(F)(F)F)C(F)(F)F,,0.0,Inhibition of human ERG expressed in HEK293 cells by whole cell patch clamp method,SINGLE PROTEIN,,,,
